filtre;APP_Libelle_activite_etablissement;APP_Libelle_etablissement;ods_adresse;Code_postal;Libelle_commune;Synthese_eval_sanit;geores;SIRET;Date_inspection;Numero_inspection;Agrement;ods_type_activite
Restaurant;Restaurant;RELAIS DES BASTIDES;LD LE BOURG;47290;Saint-Pastour;Très satisfaisant;44.488403, 0.600709;75052913300019;2019-03-22T01:00:00+01:00;19-048897-1;;Autres
Restaurant;Restaurant;MARKHAM THAI;11 RUE DE MONTYON;75009;Paris 9e  Arrondissement;Satisfaisant;48.873043, 2.344009;83523880900015;2018-12-04T01:00:00+01:00;18-089145-1;;Autres
Restaurant;Restaurant;LE RELAIS DE PARIS;CAP ROUSSILLON;66600;Rivesaltes;Satisfaisant;42.765673, 2.868549;83867916500020;2019-05-07T02:00:00+02:00;19-018952-1;;Autres
Restaurant;Restaurant;LE CHASSEEN;6 RUE CROZATIER;75012;Paris 12e  Arrondissement;Satisfaisant;48.845522, 2.382895;84315135800010;2019-03-20T01:00:00+01:00;19-028212-1;;Autres
Restaurant;Restaurant;LATIN FRANCHISE;101 PORTE BERGER;75001;Paris 1er Arrondissement;Satisfaisant;48.861315, 2.346634;62201334000071;2019-07-11T02:00:00+02:00;19-063949-1;;Autres
Restaurant;Restaurant;TRISTAN OURSEL SARL - QUENTIN P'TIT CREUX;LA COUTURE PEPIN;27930;Sacquenville;Très satisfaisant;48.832458, 2.287283;49420451400017;2019-04-29T02:00:00+02:00;19-044810-1;;Autres
Restaurant;Restaurant;NOVOLUSO;644 RUE HECTOR BERLIOZ;01480;Beauregard;Satisfaisant;45.998075, 4.751976;79272019500017;2019-07-10T02:00:00+02:00;19-066800-1;;Autres
Restaurant;Restaurant;KAZERTA 94;34 AVENUE DU GENERAL DE GAULLE;94500;Champigny-sur-Marne;Satisfaisant;48.820966, 2.487816;83471856100014;2019-01-08T01:00:00+01:00;18-094261-1;;Autres
Restaurant;Restaurant;THAI YIM 2;70 RUE DU CHATEAU DES RENTIERS;75013;Paris 13e  Arrondissement;Satisfaisant;48.826445, 2.36913;83127117600016;2019-03-06T01:00:00+01:00;19-024532-1;;Autres
Restaurant;Restaurant;BAR-RESTAURANT DU STADE;22, rue de ST Malo;50200;Coutances;Très satisfaisant;49.051741, -1.453637;41292328600014;2018-09-27T02:00:00+02:00;18-029692-1;;Autres
Restaurant;Restaurant;RESTAURANT LE LOTUS BLEU;14 RUE RENE CASSIN;84400;Apt;Satisfaisant;43.874841, 5.396633;51059795800014;2019-02-21T01:00:00+01:00;19-020968-1;;Autres
Restaurant;Restaurant;MLSL MORAIS;6 RUE MICHEL CHASLES;75012;Paris 12e  Arrondissement;Satisfaisant;48.846592, 2.374014;83973709500027;2019-02-18T01:00:00+01:00;19-016527-1;;Autres
Restaurant;Restaurant;ESR DELICE;7 PORTE DES PRINCES;84350;Courthézon;Très satisfaisant;44.085547, 4.882237;44906708100033;2018-09-26T02:00:00+02:00;18-072841-1;;Autres
Restaurant;Restaurant;PIZZA HUT;58 RUE JEANNE D ARC;54000;Nancy;Très satisfaisant;48.686057, 6.171583;75145137800036;2019-05-16T02:00:00+02:00;19-061470-1;;Autres
Restaurant;Restaurant;LP PIZZA;182 AVENUE DU 14 JUILLET;76300;Sotteville-lès-Rouen;Très satisfaisant;49.410628, 1.079273;83390938500019;2019-04-04T02:00:00+02:00;19-035431-1;;Autres
Restaurant;Restaurant;O DEL'ICES;29 RUE THIERS;47190;Aiguillon;Satisfaisant;44.300825, 0.338055;82366417200017;2018-12-18T01:00:00+01:00;18-093295-1;;Autres
Restaurant;Restaurant;VANITORIA;VANITORIA;16800;Soyaux;Très satisfaisant;45.640266, 0.19706;43803958800027;2019-01-16T01:00:00+01:00;19-002680-1;;Autres
Restaurant;Restaurant;LEVANTINE;36 RUE BICHAT;75010;Paris 10e  Arrondissement;Satisfaisant;48.871536, 2.368142;83405554300013;2019-01-14T01:00:00+01:00;19-002187-1;;Autres
Restaurant;Restaurant;SARL MARONNE JOUVE;22 AVENUE GAMBETTA;19110;Bort-les-Orgues;Satisfaisant;45.399992, 2.499547;83053292500021;2019-07-18T02:00:00+02:00;19-013664-1;;Autres
Restaurant;Restaurant;SUSHI WOK BUZZ;57 RUE BEAUNIER;75014;Paris 14e  Arrondissement;Satisfaisant;48.824593, 2.326265;84047170000012;2018-11-02T01:00:00+01:00;18-085421-1;;Autres
Restaurant;Restaurant;ORIGINES;RUE DU CLOS DE LA CHAUX;63500;Le Broc;Très satisfaisant;45.501443, 3.24364;83959831500019;2018-12-06T01:00:00+01:00;18-089872-1;;Autres
Restaurant;Restaurant;SANS ENSEIGNE USUELLE;;55100;Marre;A améliorer;49.211013, 5.30154;30080823500018;2019-03-29T01:00:00+01:00;18-061612-1;;Autres
